# Experiment File Name : 031221_Bsal_All_Live_D7.eds,,,,,,,,,,,,,,,,,,,,,
# Created By :sarah.mcgrath@ufl.edu,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date : 2021-03-12 02:24:17 PM,,,,,,,,,,,,,,,,,,,,,
# Instrument Type : QuantStudio 3 System,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
A1,Bsal1000,ChytrMGB2,1.219,Amp,STANDARD,20.035,20.057,0.031,1000000,-,-,39.1154,0.9667,-3.1206,109.14679,TRUE,0.101,TRUE,3,15,FALSE
A2,Bsal1000,ChytrMGB2,1.211,Amp,STANDARD,20.079,20.057,0.031,1000000,-,-,39.1154,0.9667,-3.1206,109.14679,TRUE,0.101,TRUE,3,16,FALSE
A3,D7_NA_B1.1,ChytrMGB2,1.205,Amp,UNKNOWN,31.988,31.988,-,192.36172,192.362,-,39.1154,0.9667,-3.1206,109.14679,TRUE,0.101,TRUE,3,27,FALSE
A4,D7_NA_FD1.3,ChytrMGB2,1.223,Amp,UNKNOWN,37.439,37.439,-,3.445646,3.446,-,39.1154,0.9667,-3.1206,109.14679,TRUE,0.101,TRUE,3,33,FALSE
A5,D7_NA_NG2.2,ChytrMGB2,1.231,Amp,UNKNOWN,32.799,32.799,-,105.689835,105.69,-,39.1154,0.9667,-3.1206,109.14679,TRUE,0.101,TRUE,3,29,FALSE
A6,D7_NA_MC1.1,ChytrMGB2,1.221,Amp,UNKNOWN,35.42,35.42,-,15.2795,15.28,-,39.1154,0.9667,-3.1206,109.14679,TRUE,0.101,TRUE,3,31,FALSE
A7,D7_NA_DG1.3,ChytrMGB2,1.223,Amp,UNKNOWN,35.252,35.252,-,17.304775,17.305,-,39.1154,0.9667,-3.1206,109.14679,TRUE,0.101,TRUE,3,31,FALSE
A8,D7_A_B2.2,ChytrMGB2,1.218,Amp,UNKNOWN,32.382,32.382,-,143.76324,143.763,-,39.1154,0.9667,-3.1206,109.14679,TRUE,0.101,TRUE,3,27,FALSE
A9,D7_A_NG1.1,ChytrMGB2,1.23,Amp,UNKNOWN,34.612,34.612,-,27.735092,27.735,-,39.1154,0.9667,-3.1206,109.14679,TRUE,0.101,TRUE,3,30,FALSE
A10,D7_A_CD1.3,ChytrMGB2,1.226,Amp,UNKNOWN,36.832,36.832,-,5.3907394,5.391,-,39.1154,0.9667,-3.1206,109.14679,TRUE,0.101,TRUE,3,33,FALSE
