# Experiment File Name : Bd_All_Live_D14.eds,,,,,,,,,,,,,,,,,,,,,
# Created By :sarah.mcgrath@ufl.edu,,,,,,,,,,,,,,,,,,,,,
# Last Modified Date : 2021-01-29 01:31:13 PM,,,,,,,,,,,,,,,,,,,,,
# Instrument Type : QuantStudio 3 System,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
A1,BdGF_10^6,ChytrMGB2,1.506,Amp,STANDARD,23,22.914,0.122,1000000,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,17,FALSE
A2,BdGF_10^6,ChytrMGB2,1.509,Amp,STANDARD,22.828,22.914,0.122,1000000,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,16,FALSE
A3,D14_NA_B1.1,ChytrMGB2,1.502,Amp,UNKNOWN,37.782,37.782,-,65.12617,65.126,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,31,FALSE
A4,D14_NA_FD1.3,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
A5,D14_NA_NG2.2,ChytrMGB2,1.503,Amp,UNKNOWN,33.918,33.918,-,763.1565,763.156,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,28,FALSE
A6,D14_NA_MC1.1,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
A7,D14_NA_DG1.3,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
A8,D14_A_B2.2,ChytrMGB2,1.503,Amp,UNKNOWN,26.049,26.049,-,114619.83,114619.83,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,20,FALSE
A9,D14_A_NG1.1,ChytrMGB2,1.508,Amp,UNKNOWN,38.397,38.397,-,44.006523,44.007,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,32,FALSE
A10,D14_A_CD1.3,ChytrMGB2,1.503,Amp,UNKNOWN,37.909,37.909,-,60.041172,60.041,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,31,FALSE
A11,D14_A_MC2.2,ChytrMGB2,1.505,Amp,UNKNOWN,27.458,27.458,-,46719.043,46719.043,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,21,FALSE
B1,BdGF_10^5,ChytrMGB2,1.504,Amp,STANDARD,25.627,25.575,0.074,100000,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,20,FALSE
B2,BdGF_10^5,ChytrMGB2,1.51,Amp,STANDARD,25.523,25.575,0.074,100000,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,18,FALSE
B3,D14_NA_B1.2,ChytrMGB2,1.511,Amp,UNKNOWN,35.673,35.673,-,249.50417,249.504,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,30,FALSE
B4,D14_NA_FD2.1,ChytrMGB2,1.51,Amp,UNKNOWN,36.056,36.056,-,195.43797,195.438,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,30,FALSE
B5,D14_NA_NG2.3,ChytrMGB2,1.507,Amp,UNKNOWN,34.479,34.479,-,533.8825,533.883,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,26,FALSE
B6,D14_NA_MC1.2,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
B7,D14_NA_DG2.1,ChytrMGB2,1.509,Amp,UNKNOWN,36.399,36.399,-,157.07129,157.071,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,30,FALSE
B8,D14_A_B2.3,ChytrMGB2,1.509,Amp,UNKNOWN,31.704,31.704,-,3126.0159,3126.016,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,26,FALSE
B9,D14_A_NG1.2,ChytrMGB2,1.515,Amp,UNKNOWN,38.025,38.025,-,55.762497,55.762,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,31,FALSE
B10,D14_A_CD2.1,ChytrMGB2,1.506,Amp,UNKNOWN,30.345,30.345,-,7426.0703,7426.07,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,24,FALSE
B11,D14_A_MC2.3,ChytrMGB2,1.508,Amp,UNKNOWN,27.111,27.111,-,58275.934,58275.934,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,20,FALSE
C1,BdGF_10^4,ChytrMGB2,1.502,Amp,STANDARD,31.055,30.973,0.116,10000,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,25,FALSE
C2,BdGF_10^4,ChytrMGB2,1.508,Amp,STANDARD,30.891,30.973,0.116,10000,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,24,FALSE
C3,D14_NA_B1.3,ChytrMGB2,1.509,Amp,UNKNOWN,32.694,32.694,-,1663.9829,1663.983,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,26,FALSE
C4,D14_NA_FD2.2,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
C5,D14_NA_CD1.1,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
C6,D14_NA_MC1.3,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
C7,D14_NA_DG2.2,ChytrMGB2,1.508,Amp,UNKNOWN,38.259,38.259,-,48.049088,48.049,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,32,FALSE
C8,D14_A_FD1.1,ChytrMGB2,1.512,Amp,UNKNOWN,35.502,35.502,-,278.15976,278.16,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,30,FALSE
C9,D14_A_NG1.3,ChytrMGB2,1.51,Amp,UNKNOWN,36.019,36.019,-,200.16055,200.161,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,30,FALSE
C10,D14_A_CD2.2,ChytrMGB2,1.511,Amp,UNKNOWN,31.51,31.51,-,3535.9338,3535.934,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,25,FALSE
C11,D14_A_DG1.1,ChytrMGB2,1.51,Amp,UNKNOWN,34.109,34.109,-,675.62103,675.621,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,28,FALSE
D1,BdGF_10^3,ChytrMGB2,1.508,Amp,STANDARD,32.753,32.934,0.256,1000,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,26,FALSE
D2,BdGF_10^3,ChytrMGB2,1.505,Amp,STANDARD,33.115,32.934,0.256,1000,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,27,FALSE
D3,D14_NA_B2.1,ChytrMGB2,1.512,Amp,UNKNOWN,19.623,19.623,-,6868537,6868537,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,14,FALSE
D4,D14_NA_FD2.3,ChytrMGB2,1.511,Amp,UNKNOWN,37.695,37.695,-,68.828606,68.829,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,32,FALSE
D5,D14_NA_CD1.2,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
D6,D14_NA_MC2.1,ChytrMGB2,1.508,Amp,UNKNOWN,32.217,32.217,-,2253.7996,2253.8,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,26,FALSE
D7,D14_NA_DG2.3,ChytrMGB2,1.507,Amp,UNKNOWN,37.612,37.612,-,72.56835,72.568,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,31,FALSE
D8,D14_A_FD1.2,ChytrMGB2,1.512,Amp,UNKNOWN,33.539,33.539,-,971.2564,971.256,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,27,FALSE
D9,D14_A_NG2.1,ChytrMGB2,1.51,Amp,UNKNOWN,31.064,31.064,-,4698.157,4698.157,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,25,FALSE
D10,D14_A_CD2.3,ChytrMGB2,1.513,Amp,UNKNOWN,33.325,33.325,-,1113.4497,1113.45,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,27,FALSE
D11,D14_A_DG1.2,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
E1,BdGF_10^2,ChytrMGB2,1.509,Amp,STANDARD,36.987,36.363,0.882,100,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,32,FALSE
E2,BdGF_10^2,ChytrMGB2,1.51,Amp,STANDARD,35.74,36.363,0.882,100,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,30,FALSE
E3,D14_NA_B2.2,ChytrMGB2,1.509,Amp,UNKNOWN,17.983,17.983,-,1.95E+07,1.95E+07,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,12,FALSE
E4,D14_NA_NG1.1,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
E5,D14_NA_CD1.3,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
E6,D14_NA_MC2.2,ChytrMGB2,1.511,Amp,UNKNOWN,34.988,34.988,-,385.91113,385.911,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,29,FALSE
E7,D14_A_B1.1,ChytrMGB2,1.511,Amp,UNKNOWN,35.929,35.929,-,211.93639,211.936,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,29,FALSE
E8,D14_A_FD1.3,ChytrMGB2,1.506,Amp,UNKNOWN,35.35,35.35,-,306.43787,306.438,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,30,FALSE
E9,D14_A_NG2.2,ChytrMGB2,1.513,Amp,UNKNOWN,30.438,30.438,-,7000.9243,7000.924,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,24,FALSE
E10,D14_A_MC1.1,ChytrMGB2,1.516,Amp,UNKNOWN,35.576,35.576,-,265.35123,265.351,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,29,FALSE
E11,D14_A_DG1.3,ChytrMGB2,1.513,Amp,UNKNOWN,35.52,35.52,-,274.99734,274.997,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,30,FALSE
F1,BdGF_10,ChytrMGB2,0,No Amp,STANDARD,Undetermined,41.986,-,10,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
F2,BdGF_10,ChytrMGB2,0,No Amp,STANDARD,Undetermined,41.986,-,10,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
F3,D14_NA_B2.3,ChytrMGB2,1.512,Amp,UNKNOWN,20.484,20.484,-,3967564.8,3967564.8,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,15,FALSE
F4,D14_NA_NG1.2,ChytrMGB2,0,No Amp,UNKNOWN,Undetermined,-,-,-,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
F5,D14_NA_CD2.1,ChytrMGB2,1.507,Amp,UNKNOWN,34.235,34.235,-,623.5581,623.558,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,28,FALSE
F6,D14_NA_MC2.3,ChytrMGB2,1.511,Amp,UNKNOWN,32.376,32.376,-,2037.7129,2037.713,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,26,FALSE
F7,D14_A_B1.2,ChytrMGB2,1.512,Amp,UNKNOWN,31.77,31.77,-,2997.635,2997.635,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,26,FALSE
F8,D14_A_FD2.1,ChytrMGB2,1.514,Amp,UNKNOWN,27.698,27.698,-,40089.23,40089.23,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,21,FALSE
F9,D14_A_NG2.3,ChytrMGB2,1.515,Amp,UNKNOWN,30.357,30.357,-,7373.248,7373.248,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,24,FALSE
F10,D14_A_MC1.2,ChytrMGB2,1.511,Amp,UNKNOWN,34.353,34.353,-,578.3949,578.395,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,29,FALSE
F11,D14_A_DG2.1,ChytrMGB2,1.514,Amp,UNKNOWN,27.789,27.789,-,37844.55,37844.55,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,21,FALSE
G1,BdGF_10,ChytrMGB2,0,No Amp,STANDARD,Undetermined,41.986,-,10,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,49,FALSE
G2,BdGF_10,ChytrMGB2,1.515,Amp,STANDARD,41.986,41.986,-,10,-,-,44.3386,0.9795,-3.6151,89.06778,TRUE,0.409,TRUE,3,35,FALSE
